2026-06-01 00:36:25 ; Dia 1 ; MENU INICIAL         ; Entrou
2026-06-01 00:36:27 ; Dia 1 ; MENU INICIAL         ; Saiu - Iniciar simulacao
2026-06-01 00:36:27 ; Dia 1 ; MENU CONFIGURAR TEMPO ; Entrou
2026-06-01 00:36:28 ; Dia 1 ; CONFIGURAR TEMPO     ; 1 minuto real
2026-06-01 00:36:28 ; Dia 1 ; MENU CONFIGURAR TEMPO ; Saiu
2026-06-01 00:36:28 ; Dia 1 ; INICIAR SIMULACAO    ; Simulacao iniciada
2026-06-01 00:36:44 ; Dia 1 ; MENU PAUSA           ; Entrou
2026-06-01 00:36:46 ; Dia 1 ; MENU PAUSA           ; Saiu - Cancelou simulacao
2026-06-01 00:36:46 ; Dia 1 ; MENU INICIAL         ; Entrou
2026-06-01 00:36:48 ; Dia 1 ; MENU INICIAL         ; Saiu
2026-06-01 00:36:48 ; Dia 1 ; TERMINAR PROGRAMA    ; Terminado pelo utilizador
2026-06-02 16:02:42 ; Dia 1 ; MENU INICIAL         ; Entrou
2026-06-02 16:02:46 ; Dia 1 ; MENU INICIAL         ; Saiu
2026-06-02 16:02:46 ; Dia 1 ; TERMINAR PROGRAMA    ; Terminado pelo utilizador
2026-06-02 16:09:37 ; Dia 1 ; MENU INICIAL         ; Entrou
2026-06-02 16:11:22 ; Dia 1 ; MENU INICIAL         ; Saiu - Iniciar simulacao
2026-06-02 16:11:22 ; Dia 1 ; MENU CONFIGURAR TEMPO ; Entrou
2026-06-02 16:11:43 ; Dia 1 ; CONFIGURAR TEMPO     ; 1 minuto real
2026-06-02 16:11:43 ; Dia 1 ; MENU CONFIGURAR TEMPO ; Saiu
2026-06-02 16:11:43 ; Dia 1 ; INICIAR SIMULACAO    ; Simulacao iniciada
2026-06-02 16:11:54 ; Dia 1 ; MENU PAUSA           ; Entrou
2026-06-02 16:11:58 ; Dia 1 ; MENU CAIXAS          ; Entrou
2026-06-02 16:12:24 ; Dia 1 ; ABRIR CAIXA DEF      ; Caixa 4
2026-06-02 16:12:35 ; Dia 1 ; FECHAR CAIXA DEF     ; Caixa 6
2026-06-02 16:12:55 ; Dia 1 ; MENU CAIXAS          ; Saiu
2026-06-02 16:13:00 ; Dia 1 ; MENU PAUSA           ; Saiu - Retomou simulacao
2026-06-02 16:13:10 ; Dia 1 ; MENU PAUSA           ; Entrou
2026-06-02 16:13:12 ; Dia 1 ; MENU CLIENTES        ; Entrou
2026-06-02 16:13:30 ; Dia 1 ; MENU CLIENTES        ; Saiu
2026-06-02 16:13:34 ; Dia 1 ; MENU ESTATISTICAS    ; Entrou
2026-06-02 16:13:40 ; Dia 1 ; ESTATISTICAS GERAIS  ; Visualizado
2026-06-02 16:14:00 ; Dia 1 ; TAXA OFERTA          ; Visualizado
2026-06-02 16:14:15 ; Dia 1 ; LISTAR FUNCIONARIOS  ; Visualizado
2026-06-02 16:14:33 ; Dia 1 ; ESTATISTICAS CLIENTES ; Visualizado
2026-06-02 16:16:01 ; Dia 1 ; ESTATISTICAS CLIENTES ; Visualizado
2026-06-02 16:16:35 ; Dia 1 ; MENU ESTATISTICAS    ; Saiu
2026-06-02 16:16:41 ; Dia 1 ; MENU PAUSA           ; Saiu - Retomou simulacao
2026-06-02 16:17:56 ; Dia 1 ; FIM SIMULACAO        ; Simulacao terminada e dia guardado
2026-06-02 16:17:56 ; Dia 1 ; MENU FIM SIMULACAO   ; Entrou
2026-06-02 16:18:20 ; Dia 1 ; MENU FIM SIMULACAO   ; Saiu
2026-06-02 16:18:20 ; Dia 2 ; MENU INICIAL         ; Entrou
2026-06-02 16:21:06 ; Dia 2 ; VER ESTAT. DIA ANTERIOR ; Dia 1
2026-06-02 16:21:06 ; Dia 1 ; MENU ESTAT. ANTERIORES ; Entrou
2026-06-02 16:21:09 ; Dia 1 ; ESTATISTICAS GERAIS  ; Visualizado
2026-06-02 16:21:17 ; Dia 1 ; ESTATISTICAS CLIENTES ; Visualizado
2026-06-02 16:22:08 ; Dia 1 ; ESTATISTICAS CLIENTES ; Visualizado
2026-06-02 22:29:39 ; Dia 2 ; MENU INICIAL         ; Entrou
2026-06-02 22:42:46 ; Dia 2 ; MENU INICIAL         ; Entrou
2026-06-02 22:43:03 ; Dia 2 ; MENU INICIAL         ; Entrou
2026-06-02 22:43:05 ; Dia 2 ; VER ESTAT. DIA ANTERIOR ; Dia 1
2026-06-02 22:43:05 ; Dia 1 ; MENU ESTAT. ANTERIORES ; Entrou
2026-06-02 22:43:06 ; Dia 1 ; ESTATISTICAS GERAIS  ; Visualizado
2026-06-02 22:43:08 ; Dia 1 ; MENU ESTAT. ANTERIORES ; Saiu
2026-06-02 22:45:27 ; Dia 2 ; MENU INICIAL         ; Entrou
2026-06-02 22:46:45 ; Dia 2 ; MENU INICIAL         ; Entrou
2026-06-02 22:49:31 ; Dia 2 ; MENU INICIAL         ; Entrou
2026-06-02 22:51:37 ; Dia 2 ; MENU INICIAL         ; Entrou
2026-06-02 23:03:53 ; Dia 2 ; MENU INICIAL         ; Entrou
2026-06-02 23:03:57 ; Dia 2 ; MENU MEMÓRIA         ; Entrou
2026-06-02 23:03:58 ; Dia 2 ; MENU MEMÓRIA         ; Saiu
2026-06-02 23:03:58 ; Dia 2 ; MENU INICIAL         ; Entrou
2026-06-02 23:04:00 ; Dia 2 ; MENU MEMÓRIA         ; Entrou
2026-06-02 23:04:15 ; Dia 2 ; MENU MEMÓRIA         ; Saiu
2026-06-02 23:04:15 ; Dia 2 ; MENU INICIAL         ; Entrou
2026-06-02 23:05:08 ; Dia 2 ; MENU INICIAL         ; Entrou
2026-06-02 23:09:26 ; Dia 2 ; MENU INICIAL         ; Saiu - Iniciar simulacao
2026-06-02 23:09:26 ; Dia 2 ; MENU CONFIGURAR TEMPO ; Entrou
2026-06-02 23:09:28 ; Dia 2 ; CONFIGURAR TEMPO     ; 1 minuto real
2026-06-02 23:09:28 ; Dia 2 ; MENU CONFIGURAR TEMPO ; Saiu
2026-06-02 23:09:28 ; Dia 2 ; INICIAR SIMULACAO    ; Simulacao iniciada
2026-06-02 23:09:35 ; Dia 2 ; MENU PAUSA           ; Entrou
2026-06-02 23:09:37 ; Dia 2 ; MENU MEMÓRIA         ; Entrou
2026-06-02 23:09:48 ; Dia 2 ; MENU MEMÓRIA         ; Saiu
